city,ID,lat,long,place_id,licence,osm_type,osm_id,class,type,place_rank,importance,addresstype,name,display_name
Aarhus,city_27,56.1496278,10.2134046,153989618,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,26559213,place,city,16,0.642829739461168,city,Aarhus,"Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark"
Canberra,city_28,-35.2975906,149.1012676,19676281,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,21674637,place,city,15,0.671350336453796,city,Canberra,"Canberra, District of Canberra Central, Australian Capital Territory, 2600, Australia"
Iksan,city_29,35.9479291,126.9578025,206070195,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,7619924,boundary,administrative,12,0.511980466011509,city,익산시,"익산시, 전북특별자치도, 대한민국"
Tel Aviv,city_30,32.0852997,34.7818064,195965910,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1382494,boundary,administrative,16,0.720429619794601,city,תל־אביב–יפו,"תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, ישראל"
Humlebaek,city_31,55.9618789,12.5305462,136235098,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,26559049,place,town,18,0.407290083023225,town,Humlebæk,"Humlebæk, Fredensborg Kommune, Region Hovedstaden, 3050, Danmark"
Houston,city_32,29.7589382,-95.3676974,281239887,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,2688911,boundary,administrative,16,0.737016847660481,city,Houston,"Houston, Harris County, Texas, United States"
Milan,city_33,45.4641943,9.1896346,397861960,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,44915,boundary,administrative,16,0.801539885678541,city,Milano,"Milano, Lombardia, Italia"
Chicago,city_34,41.8755616,-87.6244212,344128700,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,122604,boundary,administrative,16,0.801638032532771,city,Chicago,"Chicago, South Chicago Township, Cook County, Illinois, United States"
Gyeongju,city_35,35.8556705,129.2248811,251928153,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,7740688,boundary,administrative,12,0.574624313164309,city,경주시,"경주시, 경상북도, 대한민국"
Bentonville,city_36,36.3728608,-94.208787,418320938,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,111561,boundary,administrative,16,0.526951841682883,city,Bentonville,"Bentonville, Benton County, Arkansas, United States"
Adelaide,city_37,-34.9281805,138.5999312,428671781,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,11381689,place,city,16,0.690816221046089,city,Adelaide,"Adelaide, Adelaide City Council, South Australia, Australia"
Brisbane,city_38,-27.365991,152.948963,429284640,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,14027280,place,city,16,0.712670560699405,city,Brisbane,"Brisbane, City of Moreton Bay, Queensland, Australia"
Abu Dhabi,city_39,24.4538352,54.3774014,429200771,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,4479763,boundary,administrative,10,0.673085486418728,city,أبو ظبي,"أبو ظبي, أبوظبي, أبو ظبي, الإمارات العربية المتحدة"
Athens,city_40,33.9597677,-83.376398,317105150,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,119353,boundary,administrative,16,0.604781680736729,city,Athens,"Athens, Clarke County, Georgia, United States"
Mexico City,city_41,19.4326296,-99.1331785,402732441,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,17483459,boundary,administrative,16,0.782013058401644,city,Ciudad de México,"Ciudad de México, Cuauhtémoc, Ciudad de México, México"
Frankfurt,city_42,50.1106444,8.6820917,127389583,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,62400,boundary,administrative,12,0.747397038292589,city,Frankfurt am Main,"Frankfurt am Main, Hessen, Deutschland"
Lisbon,city_43,38.7077507,-9.1365919,274299220,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,5400890,boundary,administrative,14,0.76350361483068,city,Lisboa,"Lisboa, Portugal"
Bilbao,city_44,43.2630018,-2.9350039,270685627,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,339549,boundary,administrative,16,0.681601477283632,city,Bilbao,"Bilbao, Bizkaia, Euskadi, España"
Krakow,city_45,50.0619474,19.9368564,167402527,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,449696,boundary,administrative,12,0.753661338790818,city,Kraków,"Kraków, województwo małopolskie, Polska"
S√£o Paulo,city_46,-23.5506507,-46.6333824,,,,,,,,,,
Montreal,city_47,45.5031824,-73.5698065,337883586,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1634158,boundary,administrative,16,0.768339993225789,city,Montréal,"Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, Canada"
Berlin,city_48,52.5173885,13.3951309,133769868,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,62422,boundary,administrative,8,0.852219653608809,city,Berlin,"Berlin, Deutschland"
Basel,city_49,47.5581077,7.5878261,85092634,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1683619,boundary,administrative,16,0.721906213499309,city,Basel,"Basel, Basel-Stadt, Schweiz/Suisse/Svizzera/Svizra"
Copenhagen,city_50,55.6867243,12.5700724,136669950,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,13707878,place,city,15,0.769425038152694,city,København,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark"
Prague,city_51,50.0850112,14.4265172,425874353,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,435514,boundary,administrative,8,0.808711035856676,city,Praha,"Praha, Česko"
Daegu,city_52,35.8713,128.6018,404282322,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,2395674,boundary,administrative,8,0.659665301755704,city,대구광역시,"대구광역시, 대한민국"
Brussels,city_53,50.8467372,4.352493,96022738,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,58274,boundary,administrative,14,0.740245593327253,city,Bruxelles - Brussel,"Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
Liverpool,city_54,53.4071991,-2.99168,411638202,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,172987,boundary,administrative,16,0.729757626280465,city,Liverpool,"Liverpool, Liverpool City Region, England, United Kingdom"
Osaka,city_55,34.6937569,135.5014539,407375543,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,358674,boundary,administrative,16,0.740477024554783,city,大阪市,"大阪市, 大阪府, 日本"
Los Angeles,city_56,34.0536909,-118.242766,419201125,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,207359,boundary,administrative,16,0.841082888108865,city,Los Angeles,"Los Angeles, Los Angeles County, California, United States"
Richmond,city_57,37.5385087,-77.43428,321708065,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,3864712,boundary,administrative,12,0.674814930008688,city,Richmond,"Richmond, Virginia, United States"
Glasgow,city_58,55.861155,-4.2501687,254852643,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,11127374,place,city,16,0.74117883101935,city,Glasgow,"Glasgow, Glasgow City, Alba / Scotland, G2 1AL, United Kingdom"
Grand Rapids,city_59,42.9632425,-85.6678639,420215820,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,134444,boundary,administrative,16,0.614637416569961,city,Grand Rapids,"Grand Rapids, Kent County, Michigan, United States"
Christchurch,city_60,-43.530955,172.6364343,415436064,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,2730349,place,city,16,0.65369460759656,city,Christchurch,"Christchurch, Christchurch City, Canterbury, New Zealand / Aotearoa"
Boston,city_61,42.3588336,-71.0578303,331951787,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,2315704,boundary,administrative,16,0.7729506072169,city,Boston,"Boston, Suffolk County, Massachusetts, United States"
Hong Kong,city_62,22.2792968,114.1628907,432531647,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,20044132,boundary,administrative,8,0.816628289531381,city,香港 Hong Kong,"香港 Hong Kong, 中国"
Kraków,city_63,50.0619474,19.9368564,167402527,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,449696,boundary,administrative,12,0.753661338790818,city,Kraków,"Kraków, województwo małopolskie, Polska"
Venice,city_64,45.4371908,12.3345898,70933737,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,44741,boundary,administrative,16,0.768893649388676,city,Venezia,"Venezia, Veneto, 30121-30176, Italia"
Turin,city_65,45.0677551,7.6824892,432037620,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,43992,boundary,administrative,16,0.770252798833849,city,Torino,"Torino, Piemonte, Italia"
Oslo,city_66,59.9133301,10.7389701,151334251,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,406091,boundary,administrative,12,0.773147884967445,county,Oslo,"Oslo, Norge"
San Francisco,city_67,37.7879363,-122.4075201,390482735,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,111968,boundary,administrative,12,0.780971280931417,city,San Francisco,"San Francisco, California, United States"
Toronto,city_68,43.6534817,-79.3839347,324835649,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,324211,boundary,administrative,12,0.775502540536438,city,Toronto,"Toronto, Golden Horseshoe, Ontario, Canada"
Barcelona,city_69,41.3825802,2.177073,75813050,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,347950,boundary,administrative,16,0.803500320969179,city,Barcelona,"Barcelona, Barcelonès, Barcelona, Catalunya, España"
Dublin,city_70,53.3493795,-6.2605593,255973251,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1109531,boundary,administrative,13,0.759018154945314,city,Dublin,"Dublin, County Dublin, Leinster, Éire / Ireland"
Budapest,city_71,47.4978789,19.0402383,432049887,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1244004,boundary,administrative,16,0.808473198555551,city,Budapest,"Budapest, Közép-Magyarország, Magyarország"
Oxford,city_72,51.7520131,-1.2578499,260211437,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,394037,boundary,administrative,16,0.716896684467407,city,Oxford,"Oxford, Oxfordshire, England, United Kingdom"
València,city_73,39.4697065,-0.3763353,272633887,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,344953,boundary,administrative,16,0.73062880567836,city,València,"València, Comarca de València, València / Valencia, Comunitat Valenciana, España"
Denver,city_74,39.7392364,-104.984862,390482582,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1411339,boundary,administrative,12,0.701033270803286,city,Denver,"Denver, Colorado, United States"
Gwacheon,city_75,37.4289037,126.9881655,206619245,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,2409169,boundary,administrative,12,0.502523480816419,city,과천시,"과천시, 경기도, 대한민국"
Giverny,city_76,49.0766185,1.5290285,90559388,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,74718,boundary,administrative,16,0.592823445068898,village,Giverny,"Giverny, Les Andelys, Eure, Normandie, France métropolitaine, 27620, France"
Malaga,city_77,36.7213028,-4.4216366,272622849,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,340746,boundary,administrative,16,0.677606569424513,municipality,Málaga,"Málaga, Málaga-Costa del Sol, Málaga, Andalucía, España"
Washington,city_78,38.8950368,-77.0365427,394523734,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,5396194,place,city,16,0.81476996784786,city,Washington,"Washington, District of Columbia, United States"
Belo Horizonte,city_79,-19.9227318,-43.9450948,406106724,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,368782,boundary,administrative,16,0.672999833668693,municipality,Belo Horizonte,"Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Brasil"
Porto,city_80,41.1502195,-8.6103497,264112904,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,3372453,boundary,administrative,14,0.68467045953583,city,Porto,"Porto, Portugal"
Figueres,city_81,42.2666314,2.9638434,76670561,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,347769,boundary,administrative,16,0.572670761494296,town,Figueres,"Figueres, Alt Empordà, Girona, Catalunya, España"
Cleveland,city_82,41.4996574,-81.6936772,342666654,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,182130,boundary,administrative,16,0.700412908819145,city,Cleveland,"Cleveland, Cuyahoga County, Ohio, United States"
Dresden,city_83,51.0493286,13.7381437,124024151,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,191645,boundary,administrative,12,0.744106358963161,city,Dresden,"Dresden, Sachsen, Deutschland"
Istanbul,city_84,41.006381,28.9758715,399452659,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,1882099475,place,city,16,0.782817507946841,city,İstanbul,"İstanbul, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye"
Jerusalem,city_85,31.7788472,35.2257856,43182765,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,1381350,boundary,administrative,15,0.777958298186371,city,ירושלים | القدس,"ירושלים | القدس, נפת ירושלים, מחוז ירושלים, ישראל"
São Paulo,city_86,-23.5506507,-46.6333824,414593982,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",relation,298285,boundary,administrative,16,0.755201644228762,municipality,São Paulo,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
